"hate_speech","counter_speech","target"
"This is not the USA. We do not accept immigrants. And if they live here, they should have no rights since they are not true citizens.","They have the same rights as all other citizens in the US: to be protected from discrimination, to choose their own leaders and to be free of violence, rape, and murder.","POC"
"Muslims are not welcome here. They are not like us, they should leave.","Islam is a religion, it has always been about people coming together to build a better life for themselves. We are proud of who we are, and we are proud of Islam.","MUSLIMS"
"We should stop those LGBT people, they are just creating troubles.","Some people are creating trouble by being homophobic, but you don't seem to be doing anything to stop them.","LGBT+"
"What the fuck is wrong with people? Can't they see that niggas are just subhuman?","You cannot be racist against anyone, even people of color. What they have in common with you is their humanity.","POC"
"Feminists pretend that they are for men's rights, but they are just a bunch of cry babies looking for justifications for oppressing men.","Discrimination based on gender does not have any justification. Feminists have always been against it.","WOMEN"
"I don't want to see a gay couple get married. I don't understand why they are so annoying.","Sexual minorities suffer because they are stigmatised.","LGBT+"
"Islam and non-muslims are incompatible. They have nothing to do with one another.","I do not understand how the diversity of humanity can be said to be in contradiction with the very basic human values of love and respect that we are striving for.","MUSLIMS"
"Immigrants are brought here to replace us. They not welcome in our country.","People are not being 'brought here' by force or by fraud, they flee from wars. And they are being welcomed here by our laws and customs.","MIGRANTS"
"Feminists talking about gender inequality should just be silenced. Women are inferior and they should remain so.","And yet, according to some statistics, up to 20% of women and 4% of men in the UK say they have experienced sexual violence since the age of 16. So this is indeed an issue of gender inequality, don't you think it is something not to be silent about?","WOMEN"
"Nonbinary folks shouldn't exist.","Nonbinary people can partially identify as either male or female, or as neither male nor female. Therefore, it seems the terminology is fitting, and that they exist: why don't you accept that?","LGBT+"
"Faggots are just an offense to moral dignity.","I don't understand how a normal person would find a man being attracted to another man offensive.","LGBT+"
"I'm tired of seeing gay people around, they should be let alone.","The lack of support and help to the gay community is a major problem, and this is why we should all do our best to stop discrimination, instead of spreading it.","LGBT+"
"Women don't have the same rights as men.","The equal rights of the woman are recognised in the US constitution and are protected by the Universal Declaration of Human Rights.","WOMEN"
"Muslims are a cancer in our society. They are literally poisoning our children.","Why are you even saying this? What do you think these children are going to be exposed to in school that will poison them?","MUSLIMS"
"Islam is not about peace, it is a cult of violence.","There is no evidence that Islam is a religion of violence, and people can be violent even without any knowledge of Islam.","MUSLIMS"
"Migrants: you are a burden. If you love our country, you should leave it.","Migrants are not a burden to our country. Migrants have been proven to be contributing members of society.","MIGRANTS"
"Gays are a bunch of perverts who should be isolated and restricted to their own communities. They are a threat to us.","Why do you say that? Are you saying that all homosexuals are a threat to society, or are you just saying that they are different from other people? Because having a particular sexual orientation doesn't coincide with 'being a threat'.","LGBT+"
"The West has let Islam take over our countries.","Not all Muslims are like the terrorists who attacked us on September 11.","MUSLIMS"
"Gays are nazis.","I don't think anyone can be homosexual and a nazi.","LGBT+"
"Gays are poisoning our children with their icky homosexuality.","What do you mean by 'poisononing our children'? Why do you think this is the case?","LGBT+"
"We must overthrow the existing state, and replace it with a white suprematist one.","There are many conflicts and problems to be solved, and racism is not an answer for them. The law was created as a means for society to solve those conflicts, and it accepts people of different colours as citizens.","other"
"The disabled should be isolated, especially autistics. They should not be allowed to have contact with others with disabilities.","Disabled people have been shown to be less likely to develop problems by keeping in contact with others with autism spectrum disorders. So, being in touch with others on the autistic spectrum might be good for their mental health.","DISABLED"
"I'm not homophobic, but when the Lord uses the word love it is never about a homosexual.","Homophobia is a hate that has no place in a loving and caring society. Love, after all, is about inclusion, not hate.","LGBT+"
"You'd better shy away from Islam because they are dangerous.","Your attitude about Islam is deeply flawed and you need to have a mature and open mind. Even if you find Islam repulsive, that does not mean you have to resort to irrational arguments to try and shut it down.","MUSLIMS"
"Muslims are nothing but criminals and terrorists.","Actually, Islam and Sharia both encourage peaceful coexistence and tolerance.","MUSLIMS"
"Women are more likely to commit crime.","This is not true. Only about 7% percent of all U.S. prison inmates are female.","WOMEN"
"When a Muslim says they want to be like us, they are really saying they want to be part of our society and this is impossible.","Muslims do participate in our society, and should be accepted as equals, because we are all equal in rights.","MUSLIMS"
"We should start a genocide against gays.","That is not acceptable. We are full members of society regardless of our sexual orientation and we should try to live as if we belong to a group that includes everybody.","LGBT+"
"I am not a homophobe, I just don't like the way gay people act.","Even if you are not homophobic it does not mean it's nice to say what you said. But either way, just because a person identifies as gay, does not make you obliged to like them (or to express your disliking).","LGBT+"
"Hijab means Islam, Islam means woman and child oppression, rapism, intolerance, chauvinism. I do not like hijab and everything else that follows!","Muslim women actually find it nice to wear hijab. It is your right not to like it, but you should not impose your views on everyone else.","MUSLIMS"
"Women have no value in a man's life.","They're people just like you and me, they have feelings and thoughts and that's what counts.","WOMEN"
"I think that all Muslims are just sick. They are not interested in Western society.","There is no evidence that Muslim people have a negative impact on our society. Why would that be true?","MUSLIMS"
"Wouldn't it be great if niggas abandoned this country once and for all?","It is not so great when people are forced to give up their liberty.","POC"
"Blacks are genetically predisposed to criminality.","This claim is a false cause and effect relation. A person's genes do not have any influence over any spurious predisposition' to commit crime.","POC"
"Migrants are not welcome here, they just arrive to take advantage of the system that has been set up for them.","There are rules in place to prevent migrants entering the UK illegally. Only the most vulnerable of people can get in.","MIGRANTS"
"Women must be subservient to men. They should serve to please men. This is their rightful place in life.","Women are human beings with dignity. They should have the opportunity to live up to this dignity.","WOMEN"
"Immigrants are the same people that came here to rape our children.","Rape is always wrong, whoever the perpetrator is. We need to focus on stopping this kind of abuse.","MIGRANTS"
"Jews are essentially good-for-nothings and wanton hypocrites. They have no place in civilised Europe.","Not all Jews are bad. Maybe you should think about the good people, like the many Jewish charitable and social organisations that help the poor.","JEWS"
"I don't like Muslims and I don't want to see more of them in this country.","Muslims are just people. They are hard-working and live with their families all across the country. We don't need to target Muslims.","MUSLIMS"
"Muslims are all against Western civilization.","It is not true that all Muslims are against Western civilization. Islam is a way of life for many different groups. Why should we be opposed to people belonging to a religion that many enjoy being part of?","MUSLIMS"
"I love white people! I am not interested in anyone else!","We are all different and deserve respect.","other"
"Faggots are not welcome here. The bigger the city, the bigger the ""stay away"" sign we must hang.","I don't know anyone who hates gays, I do know lots of people who are very proudly kind towards the queer community. They are happy with how they treat one another. You are more likely to encounter these open-minded people in places like New York or London.","LGBT+"
"Women are subhuman and have no value.","I think that it is both sexist and also dangerous to promote a certain view of women, which is why I don't think your idea can stand.","WOMEN"
"Sharia law is incompatible with the US constitution.","The US constitution guarantees equal rights under the law to all people, including Muslims.","MUSLIMS"
"Muslim rape gangs have raped, pillaged and murdered countless women across Europe. This should not happen in the West.","This is not true, only a handful of Muslims have been abusing women. We mustn't spread hate based on generalisation.","MUSLIMS"
"Bring back slavery, Jim Crow laws, segregation, and war against niggas.","We should integrate and treat all people as if they are one group, regardless of religion, nationality or skin colour.","POC"
"Muslims are no more compatible with our country than people born in 1421 are.","Maybe in order to be comfortable you have to make compromises with people who are different from you. Maybe that is what you are worried about.","MUSLIMS"
"Who the fuck is Breonna Taylor? A representative of the people, a nurse, or a front for the government?","Examining the resume of the victim will not help us to solve our problems. The whole problem is the culture of violence, discrimination and ignorance that is still prevalent in many parts of the country.","POC"
"If a woman wants to be a homemaker, and a man wants to be a millionaire, then we are done.","People of every gender can own and run their own businesses. We should respect that.","WOMEN"
"muslim folks are subhuman","The concept of subhuman has been totally discredited in modern times. We should not be discriminating against anyone on the basis of their religion.","MUSLIMS"
"Women are not able to take wise decisions, their behaviour is immoral.","Why do you think that women are incapable of acting ethically? They have always acted this way, from when they were children.","WOMEN"
"The Jews are responsible for the 9/11 attacks.","On this point, the 9/11 attacks have been studied extensively, and there are no evidences that suggest that Jews are responsible for them. So why do you say that?","JEWS"
"Women are soft and emotional. They are not suitable for most jobs.","Soft and emotional seems to me a quality you should be nurturing and encouraging of, regardless of gender.","WOMEN"
"The Jews really want to dominate the world, and we should stop them.","The concept of 'Jewish domination' is a constructed myth.","JEWS"
"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also require much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for further development of children without Down syndrome.","Coeducation can involve teaching the classmates of children with Down Syndrome to be responsible. As children are often better at approaching children with disabilities than adults, their involvement can be therapeutic, without adding any costs.","DISABLED"
"All feminists are imposters.","Feminism is a movement created to improve the standard of living for women. Feminists are human beings and there are no imposters (apart from those who seek to demonize women for claiming their right).","WOMEN"
"Muslims are not welcome here. They are not like us. They do not want our country.","Maybe you should meet one of them, but you would be disappointed to find them so similar to us and unimpressed by your wishes. It's very sad that discrimination is so mainstream.","MUSLIMS"
"Islam is a death cult!","Maybe if you had a closer look you'd see that it is a religion that has given so much to so many people and to our world.","MUSLIMS"
"Every Jew is a potential terrorist","The vast majority of Jews are good people, I don't see your point.","JEWS"
"Feminists want women ruling men, that's all.","Feminism is not a gender supremacy ideology, it is about individual rights and the right of every person to choose.","WOMEN"
"Why the mainstream media don't use more masculine voices in the news?","People don't decide who's presenting the news. That's up to the news media, who are attempting to insert some gender equity into a world that seems to be struggling to produce it.","WOMEN"
"Women are essentially childlike, they remain this way most of their lives. And since feminism is all about equality between the sexes, they must be childlike!","Women are not childlike, this notion is not supported by the facts, at least in my opinion.","WOMEN"
"Faggots: unless they change, they are not welcome here.","I don't know why you would expect gay people to behave differently just because you don't like them. You should think about your friends as well: what would you do if they were gay?","LGBT+"
"Muslim rape our children, they are a problem all around the world.","Islam is about love, tolerance and respect for all people. Violence and rape are not about Islam or Muslims in particular.","MUSLIMS"
"They dont' have a right to live because they are filthy niggas, and that's all.","Who decides who has a right to live and who doesn't? Are you really sure that a person's right to live does not belong to them if their skin color is different from what you like?","POC"
"Migrants are not welcome in our country, they are not welcome here.","The vast majority of migrants are granted citizenship as soon as they have lived in the country for at least three years. They should be considered as citizens regardless of their country of origin.","MIGRANTS"
"Islamic woman are beneath contempt and ridicule.","Even if they are from a different culture, they are not inferior to us.","other"
"The community of niggas is just too different from us to be accepted.","It doesn't make sense to define a community as unacceptable just because of the colour of its members' skin.","POC"
"Islam is not about love, it is a death cult.","What exactly do you mean by ""death cult""?","MUSLIMS"
"We are taking in people that are ruining our countries: all migrants are a burden.","The recent influx of migrants has helped to revitalise our economy and support a better standard of life. What is the point of making such sweeping generalisations?","MIGRANTS"
"Immigrants come here to get tax breaks and privileges. They are not happy if they have to pay the same taxes as Europeans!","That's not what's happening. Immigrants do pay taxes like everybody else. The tax system is fair, but it's unfair to withhold tax from immigrants that will never get a pension.","MIGRANTS"
"Immigrants get welfare. This is how they survive. They don't work and they are not paying taxes.","The majority of immigrants are working and paying taxes. This is how our country works.","MIGRANTS"
"Physically disabled folks are also mentally disabled.","I don' hear anyone asserting this, its just something that you choose to spread. What is your evidence?","DISABLED"
"The migrant crisis in our country is a Muslim problem.","Please help us to understand what's really going on here. Why is it a Muslim problem? If you really want to say this, try speaking to a real migrant first.","other"
"Jews are everywhere, but they are too fundamentalist.","You're right about one thing: Jews spread around the world, but not all of them are religious, let alone being fundamentalists.","JEWS"
"Islam is a death cult","You are absolutely wrong about Islam. It is a religion of peace. Also, it does not promote violence.","MUSLIMS"
"Jews control the government.","Would you say the same thing of any other religion? What if this was said about yours?","JEWS"
"why do we never talk about female-on-male rape? Isn't this a crime as well?","Rape is always a crime, whether a man or a woman is the victim. Rape is a crime regardless of gender. But male-on-female rape is prevailing by far.","WOMEN"
"Immigrants are bringing diseases and crime to our country.","Instead, immigrants are healthy and contribute to our society. Do you have any evidence of the contrary?","MIGRANTS"
"All women are child molesters, promiscuous sex addicts and whores.","I suppose if they were claiming you were a child molester with no evidence as you are doing with them, you might as well be offended.","WOMEN"
"I am just fed-up with Muslims. All I want is for them to be assimilated, or otherwise to leave.","You want people to integrate / assimilate? Have you tried making people feel welcome, as a first step to settling in? Just a thought.","MUSLIMS"
"All women are subhuman, but want to take over from men.","The idea that there is such a thing as ""women hating men"", or ""women are inherently subhuman"", is just a completely unfounded and baseless stereotype that has been used as an excuse to justify a lot of bad things, from violence to rape culture.","WOMEN"
"Migrants are just a bunch of animals , we can't accept them in our country.","We should try to find common ground and understand the problems of others rather than dividing people and trying to change them.","other"
"Women are basically childlike and are inferior to men.","Isn't this just a repetition of the rhetoric used to justify centuries of oppression and domination?","WOMEN"
"Feminism does not have any scientific basis, it should be rejected.","Feminism doesn't need to have scientific basis: its principles are basic human rights, and it is important that we understand them to live in a more inclusive world.","WOMEN"
"Black people are obsessed with violence, and this creates problems like shootings in schools.","The violence in schools is not the fault of black people. There are several authorities responsible for creating this situation; for example racist teachers, lack of education in general, and also the lack of proper policing and education policies that makes it easier for people to commit crimes in schools.","POC"
"A Jew does not need a country to live in. A Jew is a foreigner wherever he is","Every person has the right to be accepted and protected according to their worth and not to feel like a foreigner in their own country.","JEWS"
"Gypsies are way less civilized than any other ethnicity.","I'm not sure where you are getting the idea that gypsies are not civilized. What do you mean?","other"
"Feminism is just an attempt by feminists to have it all their own way.","This is not true. Feminism is an attempt to improve the lot of the less fortunate. It is about equality.","WOMEN"
"The migrants are the problem, they are flooding across the sea to make our lives harder.","They are not flooding, but instead entering the EU to work and pay taxes, and to get their own housing.","MIGRANTS"
"The European world is being overrun and replaced by immigrants and Muslims.","These immigrants are not replacing Europeans. Maybe you should check some statistics.","other"
"Immigrants from outside-EU are invading us.","Immigrants make up only a very small part of the total EU population, namely 4.9% in 2019. There is no such thing as an invasion.","MIGRANTS"
"Niggas are just influenced by tribal cultures.","The historical and cultural influences of a person are important, but they are not the sole determinant. And in no way should they be conflated with the colour of a person's skin.","POC"
"Gays are perverts and homosexuality is a mental illness.","You know what? If being gay was a mental disorder, then I would highly recommend psychiatry to all the homosexuals. But since this is not the case, I would choose my words very carefully next time.","LGBT+"
"I am offended by the presence of Muslims in Britain. Where is the sense in this faiths mixture? Nothing good is going to happen. They are ashamed of their religion, and when someone feels insecure, they are more likely to attack because they have nothing to lose.","This is not the case. What you think the comment is about, I do not know. What I do know is that, as the vast majority of Muslims in the UK, they are incredibly proud of their religion. If people were to be genuinely offended by sombody else's different religion, then I do not think the vast majority of Muslims in Britain would be deeply offended by your religion either. Why are you?","MUSLIMS"
"Jews want to rule the world.","It's not true that they want to rule the world. They are a small but important part of humanity. We all make mistakes: believing in Antisemitic canards is one of these.","JEWS"
"Jews control the elite schools in Europe.","This is just a myth. Jews, as well as Asians, epitomize the concept of ""overrepresented minorities"" in a number of prestigious academic fields. They are highly vulnerable in part because they are perceived as successful and privileged. Of course, the reality is far more complex than ""controlling the elite schools"".","JEWS"
"Sick migrants are bringing disease and misery to our country.","We shouldn't be surprised that immigrants are sick, as in they are humans and humans can get sick. We should welcome them even if they are sick.","MIGRANTS"
"We have become so arrogant, we allow people from other cultures to coexist with us.","To allow other cultures to coexist is a good thing, why should we stop people from getting to know each other?","MIGRANTS"
"This guy doesn't deserve to be British. He is just a pot smoking faggot with a brain tumour. He is not even from this country. He is probably from Pakistan, or Bangladesh.","Citizenship in Britain is also guaranteed by 'naturalisation', so it is provided by law. It is ok not to be born in Britain and to be a British citizen just as anyone else is.","MIGRANTS"
"Afro-Americans are inferior citizens who are born to be oppressed.","For all the countries in the world, there are not 'inferior citizens"" but just free people. To claim that Afro-Americans are born to be the ""oppressed"" is just wrong.","POC"
"We should ban all migrants.","It is difficult to see how banning migration would be a good thing, in fact it would actually lead to disastrous results.","MIGRANTS"
"Niggas are dangerous.","What about African-Americans? I.e. black folks? Is the colour of someone's skin always the issue?","POC"
"Muslims are just infidels hiding behind the veil to do their dirty work.","So you think that all Muslims are Mujahideen hiding behind the veil?","MUSLIMS"
"Why do all feminists hate Men? It is because they are Men. That is all.","Why did you say that? It makes no sense to infer it's about genitals to people claiming equality.","WOMEN"
"Immigrants are not welcome here.","The vast majority of migrants who come to the UK are happy to work for the benefit of our country.","MIGRANTS"
"Why don't gay people seek a cure?","Have you ever talked to a homosexual person? It could help you understand many things, including that sexual orientation is fundamental to a person's identity, not a matter of whim or ill health.","LGBT+"
"Muslims are not Europeans and we do not want them here.","Not all Muslims are from the Middle East. Many of them are European, and many of them came here to escape persecution.","MUSLIMS"
"Muslims are a problem in our country. They are a problem because they are not integrating.","You can't judge people by their faith. This is just another example of xenophobia, the real problem concerning integration.","MUSLIMS"
"Muslims are a problem in my opinion. They try to infiltrate in our society and are not well behaved. They are not good with children, they are not nice people. They say they want to impose their sharia law, and they don't want to integrate.","If Muslims are to be 'proper' members of our society, they have to be a part of our community, have to contribute to our success and have to accept our laws. And they do.","MUSLIMS"
"Niggas are not as British as we are. They are just an inferior type of citizens.","So you're saying that they can't be proud of being British, just because of the colour of their skin?","POC"
"Why should we care about feminists and women if we can just punch them?","The point of feminism is to end misogyny. Women are human beings, and they are human beings with human rights.","WOMEN"
"Black people are just a bunch of animals that shouldn't exist in our world.","Humans are born equal, and we all have the potential to be just as good as we want to be. Why do you think that some people are not human?","POC"
"Islam has no place in a modern democracy like the UK. It is incompatible with human dignity.","It would be good to see different religions co-exist peacefully, and that is exactly what the West is trying to achieve.","MUSLIMS"
"Feminism is a divisive force in society, driving people away from a progressive ideology.","This is simply a lie: feminism can empower people.","WOMEN"
"Jews are selfish and greedy, they need our pity.","Jews might be more in need of pity than others - for all they've been through - but for sure they are neither selfish nor greedy.","JEWS"
"Women are not fit to manage businesses of any size.","The highest-paid woman, at more than $50 million a year, is a business woman. Why should she be inferior to you?","WOMEN"
"Women are basically childlike, incapable of critical thought.","Women are human beings with the potential to be rational and thoughtful as anyone else. This is why I support women's right to choose their own happiness.","WOMEN"
"Jews are an inferior race, they are genetically incapable of living with other people.","The idea that Jews can be discriminated against because of some different genetics is completely without foundation. Maybe it is better to stop calling them 'inferiors'.","JEWS"
"Gay men are a burden to society and should be isolated.","Being socially isolated can have many health and social negative consequences: it inhances the risk for mental disorders such as depression, anxiety, and suicide. Why should we impose that to someone just for how they conduct their private lives?","LGBT+"
"Children with Down Syndrome are an obstacle to the development process of other children. They should be isolated.","Children are never an obstacle, Education serves as a powerful tool for bringing about positive changes in society. Education can transform people's life, improve the quality of their lives and so on. We cannot isolate people with Down syndrome.","DISABLED"
"The Jews are and will always be a problem. It is impossible for them to get beyond the shame of their stigma.","The Jews are not the problem in the world. And the Jews have the right to be proud of their history.","JEWS"
"This is not about immigration, this is about Jihad and Sharia Law. All muslims are a danger to us and must be deleted.","You know, the fact that this is a concern to you doesn't mean that you have to erase all Muslims and their religion in order to feel good.","MUSLIMS"
"Muslims are all terrorists. They should be banned from the UK.","How about you stop using that as an argument and try to come up with some evidence? Maybe you can suggest some facts to back up your claim.","MUSLIMS"
"We should refrain from imposing gender ideology on children.","An objective way of teaching gender to children is very important for the society and it is not imposing. We can present scientific and peer-reviewed sources and discuss stories of how people experience gender in terms of their personal identity.","LGBT+"
"gay people are just a bunch of disturbed animals who should not exist in a modern society.","Homosexuality is not a mental disorder and has nothing to do with social problems. It is just a human sexual orientation among many.","LGBT+"
"Jewish are taking over our country and should be banned.","What percentage of people in the US are Jewish and in a position of power? If you knew, you wouldn't be saying that.","JEWS"
"We must put an end to Islam. It's a political ideology which spreads death in the world.","Islam is a religion and not a political ideology. It is not a deadly force that must be eradicated, but a belief just as Christianity and Buddhism, for example.","MUSLIMS"
"Multiculturalism is just a political degeneration that harms integration within a nation.","In those countries that are able to accept different cultures, theose cultures became part of the national identity and a source of pride.Look at Canada for example.","MIGRANTS"
"Western culture is failing in many ways, such as not seeing women as sex objects. They should be seen as they are: a piece of meat intended to satisfy men instincts.","Women are not ""sex objects"". They can and should have their rights respected and taken into account. Women being sexually abused is just as much a part of western culture as eating pizza or reading the newspaper, and this is abominable. Don't you think?","WOMEN"
"Women need to accept that they are subhumans.","Women are equal to men whether you would call them 'subhumans' or not. They are those that are working to make societies more equal. It is very sad that there are still some people suffering from the myth that women are inherently subhumans.","WOMEN"
"Blacks make up only 14% of the population but they kill more people than whites. It is a fact.","It is also a fact that African Americans are a majority when we consider innocent defendants (i.e. a person wrongfully convicted of murder and later exonerated). Innocent black people are about seven times more likely to be convicted of murder than innocent white people.","POC"
"Immigrants are a threat to our culture.","We should be proud of our culture, but I would say that welcoming immigrants is not a threat to it.","MIGRANTS"
"Disabled people find it difficult to find work, because they do not fit with the required tasks.","Ok, how about we think about the interests of these people as well? What skills and abilities do you think we should expect from them? Why don't we modify working procedures instead of forcing their abilities to fit in to existing job positions?","DISABLED"
"I can't bear crazy Muslims coming here. They are insane, instable people.","Not all Muslims are motivated by extremism. The problem is a lack of integration, and your words don't encourage it.","MUSLIMS"
"Gay men being shot is funny.","I don't see the humour in the death of innocent people. Maybe you can explain that to me?","LGBT+"
"I hate when black people start acting like they are superior to others. They were born to be savages.","Not all people have the same skin tone to begin with. All folks have their history, religion and culture. Why then, you think that some people are more ""savage"" than others?","POC"
"People of color are a drain on the system.","The vast majority of people of color are good people who have built our communities. So why would what you're saying be true?","POC"
"The UK was a better place when it welcomed only true British citizens, and not those filthy Muslims we accept in our country nowadays.","The UK has always been a cosmopolitan society, in which people from a huge range of backgrounds and religions have lived side-by-side. So you are totally wrong.","other"
"Every day, migrants commit suicide. If they don't want to be here they just might not come in.","Statistics on people dying by suicide are difficult to come by. However, researches clearly show that suicide rates are high for people of different ethnicities.","MIGRANTS"
"If only women behaved like men wanted and didn't fight back, 10% of all sexual assaults would be solved.","Are you serious? How can you say that? To have sex with someone without their consent is violence.","WOMEN"
"If Muslims live in our country, do we have to allow them being the suicide bombs they are?","You are repeating the same myths that have been used to justify anti-Muslim prejudice for decades. We must start by talking honestly about the root causes of these problems.","MUSLIMS"
"Immigrants are invading our country. They are not welcome here.","In the EU, governments can recognise people from other countries as citizens . The fundamental rights of immigrants are also recognised here. We cannot say that people from other countries are not welcome, unless we wish to illegally exclude them.","MIGRANTS"
"Allowing Islamic immigration and refugees into the UK is a direct threat to the security of the whole Western Europe.","Terrorism is not the result of the presence of Islam within our societies, but rather a result of the extremism we might find in the world we live in.","MUSLIMS"
"We are being invaded by immigrants, we have become too multicultural, it has gone too far.","In reality, millions of immigrants have made contributions to our country, especially to our great spirit of creativity and innovation.","MIGRANTS"
"Calling for equality is only promoted by insecure women like you.","Discrimination against women is a huge problem in our society. We need to tackle it head on, rather than demonising groups or individuals.","WOMEN"
"We are surrounded by Muslims infiltrating every nook and cranny of our society. They have infiltrated every pore of our being. We are their slaves. Integration is impossible.","My understanding is that religion has never been a barrier to integration. To integrate means to let people of different faiths to live side by side, not subjugating each other.","MUSLIMS"
"Gays are nothing but degenerates.","Actually, being gay is not a disorder. But being so harsh is close to being a human rights violation.","LGBT+"
"Immigrants steal our jobs. Why are they here? Why can't they just work in their homeland? They are all profiteers of our wealth.","Some immigrants come here to support their families, but that doesn't mean that they have the ability to do so at home.","MIGRANTS"
"Let's move gays to places with lower homosexuality rate like Saudi Arabia.","I'm sure you have concerns for gay people and their families. But don't you want to help your country and promote the values of an inclusive society as well?","LGBT+"
"Children with Down Syndrome are a burden to society. They should be isolated.","Children with Down syndrome are far from being burden to society. It is not just about Down syndrome, but also about education and opportunities for everyone.","DISABLED"
"Fat people are a drain to our welfare, we should get rid of them.","Being fat is not a crime, but targeting them is.","other"
"Islam is the worst religion of all. It promotes intolerance and violence.","Islam is not a religion of intolerance, and there is no evidence that it encourages violence.","MUSLIMS"
"Rape, abuse and murder are intrinsic to Islam!","Islam is a religion, whereas these activities are punished by the laws of the state.","MUSLIMS"
"This girl doesn't have autism, she is just a freak of another human species, very far from ours normal species. Hence, she should go away.","People with special needs and people without them share common characteristics. There is no ""species"" of human being. People with autism spectrum disorders can be compatible with being ""normal"".","DISABLED"
"We have to stop gay people spreading AIDS.","Perhaps what you're saying is just hyperbole, but you seem to have a problem accepting sexual minorities in your community. Perhanps you should accept that STD is a problem of all the people regardless of their sexual identity.","LGBT+"
"Black people are a sickness and we cannot allow our children to grow up in a black-ruled society.","It seems not wanting people of colour in positions of authority is an obvious racism. I am not sure what you are saying; we are all human beings with the same core values to raise our children with.","POC"
"My fear is that immigrants will not make our country any better.","A lot of immigrants feel insecure and unsafe in their own country, if we want to make our country better, we need to make sure everyone, immigrant or not, feels safe and protected.","MIGRANTS"
"It's OK to be racist against Muslims.","Do you think it is OK to be racist against someone based on their religion? I am confused. There are white and black Muslims, like there are white and black Christians.","MUSLIMS"
"All Muslims are terrorists.","I don't think this is a very strong or healthy way to talk about others.","MUSLIMS"
"Almost every single problem in our world can be solved if we just deleted Islam.","The solution to unemployment, war and poverty has been found to be a direct result of a commitment to building a better world. Not to eliminating a religion.","MUSLIMS"
"Forcing migrants to pay in full the costs of their own treatment is just and right","This is a personal view, and I don't want to discourage migrants from coming to the UK.","MIGRANTS"
"Women have no values and their goal in life is to fulfil men desires.","I just would like women to feel valued and their rights respected, without being told how to live their life.","WOMEN"
"I can't stand migrants, I hope they starve to death.","The Western world has seen a high rate of immigration in recent years. Many of those refugees are fleeing conflict and poverty. To treat them with hate is of no help to them and to us.","MIGRANTS"
"I hate migrants.","The prejudice against immigrants is spreading so much because of general ignorance. I would be disappointed to see people of any race or ethnicity being discriminated against here.","MIGRANTS"
"Muslims are a burden on society because they do not integrate.","If you want to have a cohesive society, you have to get rid of the prejudices of the people who do not really want them to integrate.","MUSLIMS"
"The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.","Laws and policies are usually necessary for the progress of society. Governments often create laws and policies to stop crime, protect against poverty, protect the environment, etc. Protecting minorities is no exception.","POC"
"The only true believers are the ones who haven't converted to Islam.","This is not true for many, I don't think the term true believers applies to anybody. But it is very common for Muslims to be persecuted.","MUSLIMS"
"I'm tired of hearing that white supremacy is bad.","Can you specify what you are talking about?","POC"
"Children cannot be bought.","Imagine a person who cannot have children because of an illness, would you really want to deprive her of the joy of having one via surrogate pregnancy?","LGBT+"
"Islam is a disease, it is a death cult and every Muslim is a potential terrorist.","Everyone is entitled to their opinion, even if your own is quite unfounded, to put it mildly.","MUSLIMS"
"They say you cannot judge a book by its cover. But the feminists are judging us all the time.","Unlike other people, feminists are questioning the inequalities of the society. This features them not as shallow people as those judging a book by its cover.","WOMEN"
"Muslims terrorists attacked our churches. We will defend ourselves.","How can you protect your country? Putting up a fight or starting a war are harmful actions, aren't they?","MUSLIMS"
"Islam is not a religion, it is a death cult.","This is not true. Islam is a religion that promotes tolerance and understanding.","MUSLIMS"
"Muslim rape women, there are so many examplesin UK media.","Maybe we should give some thought to the question ""Why does the media report Muslim rapist only?"" The statistics paint a very different picture.","MUSLIMS"
"Women are basically childlike, and should be submissive to their husbands.","Women are human beings, and deserve respect.","WOMEN"
"All women are whining and complaining about men's rights, but they are really just whining and complaining about how they are not wanted. They only deserve it.","All women are entitled to be happy and fulfilled, this doesn't need to be proven. Why are you being doubtful about it?","WOMEN"
"migrants take our jobs","If we worked more closely with migrants, we could create new jobs.","MIGRANTS"
"All women with titillating dresses are just looking for sex. They are whores.","How would you feel if someone called your sister a bitch?","WOMEN"
"We cannot allow Muslims into UK because it is our country.","Muslims make up around 4 percent of the population in the UK, and have already contributed to what we are as a nation.","other"
"I think this girl is gay because of the way she dresses.","Sure, it's possible to identify someone as gay by their appearance... Don't you think this is really simplistic?","LGBT+"
"All women are subhuman, born that way.","No woman has ever been subhuman. The concept of 'subhuman' has always been used to justify any kind of discrimination and violence.","WOMEN"
"A person's entire life should be defined by the gender they were born into. If you are a woman you are subhuman and that's all.","Maybe we should abandon stereotypes and accept everyone equally.","WOMEN"
"Physically disabled folks should die.","This is a major misunderstanding of what humanity is. It's not about having a functioning body. It's about respecting the physical and mental integrity of other people, despite their limitations.","DISABLED"
"LGBTI people have no right to vote.","In reality, you have a legal right to vote since you are a citizen. If you aren't, then you don't have the right to vote. It isn't about your sexual orientation.","LGBT+"
